RMD,PT,activity_multiplier,base_score,raw_corr,raw_lag,resid_corr,resid_lag,diff_corr,diff_lag,segment_support,active_overlap,pt_hubness,pt_median_base_score,specificity_score,hub_multiplier,score
RMD_Anorexia Nervosa_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,1.0057908930326744,0.16502954931833166,0.0,0,0.17157072562705986,1,0.19516160619145495,0,1.0,93,0.14583333333333334,0.16075100575840584,0.004278543559925824,0.9270833333333334,0.15388212898879325
RMD_Anorexia Nervosa_NoM,PT_Neurocognitive Training_NoM,1.0140719706900623,0.5169956733093619,0.7738731144401795,4,0.6537864033326635,4,0.3231210674792121,4,1.0,96,0.08333333333333333,0.1423102008320032,0.3746854724773587,0.9583333333333334,0.5024262037180994
RMD_Anorexia Nervosa_NoM,PT_Neurofeedback Systems_NoM,1.0064936133948632,0.2799352207380762,0.36069592147996393,1,0.2993025409353737,0,0.24262107815369247,3,1.0,96,0.125,0.1860086942999145,0.09392652643816168,0.9375,0.26414344859733274
RMD_Anorexia Nervosa_NoM,PT_Neuromodulation Techniques_NoM,1.0615404566796096,0.02209050583548485,0.0,0,0.0,0,0.07363501945161617,1,0.3333333333333333,96,0.125,0.12724652375030154,0.0,0.9375,0.02198434279957891
RMD_Anorexia Nervosa_NoM,PT_Neuroplasticity Techniques_NoM,1.0123665313691217,0.06662176289740136,0.0,0,0.06561325774287737,6,0.11204477665019295,4,0.6666666666666666,96,0.0625,0.10854123854551512,0.0,0.96875,0.06533796667382144
RMD_Anorexia Nervosa_NoM,PT_Neuroprotective Agents_NoM,1.0567906525371318,0.46624540146046656,0.9119448440694373,1,0.5618006637350382,0,0.27164581860612363,2,1.0,96,0.3125,0.2077477358458782,0.25849766561458837,0.84375,0.41573569110624287
RMD_Anorexia Nervosa_NoM,PT_Occupational Therapy_NoM,1.0661399374518679,0.2918581710734641,0.7250911843021125,4,0.4127247801656132,0,0.20443230174093294,2,0.6666666666666666,96,0.1875,0.2018899008532912,0.08996827022017292,0.90625,0.28199024735435335
RMD_Anorexia Nervosa_NoM,PT_Oxytocin Therapy_NoM,1.0109600357053965,0.2704387604686372,0.6670824107179261,0,0.3089746611146053,0,0.2639548310866658,5,0.6666666666666666,96,0.10416666666666667,0.14435523135814482,0.12608352911049236,0.9479166666666666,0.2591630508697311
RMD_Anorexia Nervosa_NoM,PT_Personalized Medicine_NoM,1.1,0.12340081156348369,0.6412032734114952,0,0.0,0,0.18657921452229093,1,0.6666666666666666,96,0.14583333333333334,0.17282731474389326,0.0,0.9270833333333334,0.12584311929234432
RMD_Anorexia Nervosa_NoM,PT_Pharmacogenomic Testing_NoM,1.0272906514594577,0.2214988090345477,0.7545345999348981,0,0.1939091257950447,5,0.22908000942266066,5,0.6666666666666666,96,0.10416666666666667,0.1657842631881601,0.055714545846387575,0.9479166666666666,0.21569242375608438
RMD_Anorexia Nervosa_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,1.023512200033587,0.036189322307732655,0.3406737310018071,0,0.0,0,0.08513615892285469,2,0.0,93,0.14583333333333334,0.1515564516844128,0.0,0.9270833333333334,0.03433936403613719
RMD_Anorexia Nervosa_NoM,PT_Prolonged Exposure Therapy_NoM,1.0002715711405372,0.16604205597186772,0.1702591186573177,5,0.04454714099137912,6,0.36039631523197535,0,0.6666666666666666,34,0.10416666666666667,0.12365664162059167,0.042385414351276046,0.9479166666666666,0.1574367759001776
RMD_Anorexia Nervosa_NoM,PT_Psilocybin Assisted Therapy_NoM,1.0047101764524493,0.09398106080717651,0.2469313343307934,6,0.0743492510416505,6,0.1213932812595328,6,0.6666666666666666,96,0.16666666666666666,0.1451454644085189,0.0,0.9166666666666666,0.08655508417120279
