Rank,RMD,PT,BRGI_Score,Mean_Gap,Max_Gap,Positive_Gap_Months,RMD_Burden,PT_Readiness
80,RMD_Brief Psychotic Disorder,PT_Sleep Pattern Monitoring And Manipulation,0.39704960613082113,0.39704960613082113,0.408110699747784,36,0.4127364052176009,0.015686799086779748
81,RMD_Reactive Attachment Disorder,PT_Oxytocin Therapy,0.3956148654649596,0.3956148654649596,0.3993098668868305,36,0.7190351047741068,0.3234202393091471
82,RMD_Antisocial Personality Disorder,PT_Music Therapy,0.39314757562408464,0.39314757562408464,0.3959338550968282,36,0.6870196892979348,0.29387211367385
83,RMD_Kleptomania,PT_Social Skills Training,0.38961351255676674,0.38961351255676674,0.4198344175348187,36,0.7412501146256589,0.35163660206889213
84,RMD_Ekbom Syndrome,PT_Neurofeedback Systems,0.38569060947403455,0.38569060947403455,0.3912864572137286,36,0.5119498443037827,0.12625923482974802
85,RMD_Brief Psychotic Disorder,PT_Cognitive Assistive Technologies,0.38526119844036494,0.38526119844036494,0.3940715773814039,36,0.4127364052176009,0.027475206777235917
86,RMD_Postpartum Psychosis,PT_Mood Stabilizers,0.38170170891226113,0.38170170891226113,0.4129239855932766,36,0.7183669958120321,0.33666528689977093
87,RMD_Hallucinogen Persisting Perception Disorder,PT_Virtual Reality Exposure Therapy,0.3789406445596689,0.3789406445596689,0.382952375887039,36,0.6878894775854928,0.3089488330258239
88,RMD_Ganser Syndrome,PT_Immunotherapy For Neuropsychiatric Disorders,0.3747666882970751,0.3747666882970751,0.4218141952216597,36,0.6922316029290343,0.3174649146319591
89,RMD_Hallucinogen Persisting Perception Disorder,PT_Personalized Medicine,0.3721222963341633,0.3721222963341633,0.3738366124352276,36,0.6878894775854928,0.3157671812513294
90,RMD_Chronic Traumatic Encephalopathy,PT_Virtual Reality Exposure Therapy,0.36977019158172264,0.36977019158172264,0.3751959189422882,36,0.6787190246075465,0.3089488330258239
91,RMD_Diogenes Syndrome,PT_Psilocybin Assisted Therapy,0.3687646205950592,0.3687646205950592,0.4668495976545784,36,0.5729243881347388,0.2041597675396795
92,RMD_Dissociative Amnesia,PT_Focused Ultrasound Therapy,0.3687605302252785,0.3687605302252785,0.3733953142192825,36,0.5210034402949676,0.15224291006968915
93,RMD_Palilalia,PT_Memory Retrieval Techniques,0.3687590757093069,0.3687590757093069,0.3913560698151772,36,0.3795989302312224,0.010839854521915463
94,RMD_Disinhibited Social Engagement Disorder,PT_Memory Retrieval Techniques,0.3681832624515378,0.3681832624515378,0.388894592901708,36,0.37902311697345337,0.010839854521915463
95,RMD_Narcissistic Personality Disorder,PT_Electroencephalography,0.366602025251885,0.366602025251885,0.3718832560530105,36,0.6620654771117923,0.2954634518599072
96,RMD_Histrionic Personality Disorder,PT_Neurobiological Assessments For Mental Disorders,0.36436210660726603,0.36436210660726603,0.409748524182825,36,0.43854169611884586,0.07417958951157982
97,RMD_Body Integrity Dysphoria,PT_Psilocybin Assisted Therapy,0.36284215849988805,0.36284215849988805,0.425405104996148,36,0.5670019260395676,0.2041597675396795
98,RMD_Erotomania,PT_Transcranial Direct Current Stimulation,0.36216001162858324,0.36216001162858324,0.3889630079049829,36,0.6385203358199116,0.27636032419132833
99,RMD_Dissociative Amnesia,PT_Privacy Preserving Ai In Digital Mental Health,0.36070380715584366,0.36070380715584366,0.3891564142038674,36,0.5210034402949676,0.160299633139124
100,RMD_Kleine Levin Syndrome,PT_Neurofeedback Systems,0.3582600582954127,0.3582600582954127,0.4066021151250816,36,0.4845192931251607,0.12625923482974802
101,RMD_Anorexia Nervosa,PT_Neurocognitive Training,0.3576700254614704,0.3576700254614704,0.3672570999968138,36,0.6265170412733507,0.2688470158118803
102,RMD_Hyperthymesia,PT_Narrative Exposure Therapy,0.3566136193205434,0.3566136193205434,0.3606242413724399,36,0.6444958709212335,0.2878822516006901
103,RMD_Landau Kleffner Syndrome,PT_Behavioral Activation Therapy,0.35642623982743166,0.35642623982743166,0.359245980539657,36,0.5590709259771585,0.20264468614972675
104,RMD_Reactive Attachment Disorder,PT_Occupational Therapy,0.3554144486198829,0.3554144486198829,0.3616591317542177,36,0.7190351047741068,0.3636206561542238
105,RMD_Reactive Attachment Disorder,PT_Hypnotherapy,0.35468462330540934,0.35468462330540934,0.3593524341117842,36,0.7190351047741068,0.3643504814686974
106,RMD_Dissociative Fugue,PT_Transcranial Direct Current Stimulation,0.35322708144027043,0.35322708144027043,0.3614814838412005,36,0.6295874056315989,0.27636032419132833
107,RMD_Kleptomania,PT_Ketamine Therapy,0.3519867951512626,0.3519867951512626,0.3839677939935483,36,0.7412501146256589,0.3892633194743963
108,RMD_Body Integrity Dysphoria,PT_Trauma Focused Cbt,0.35177796000193806,0.35177796000193806,0.3711902158675206,36,0.5670019260395676,0.21522396603762947
109,RMD_Narcissistic Personality Disorder,PT_Brain Computer Interface,0.35015720361605773,0.35015720361605773,0.3575057649334136,36,0.6620654771117923,0.31190827349573447
