Rank,RMD,PT,BRGI_Score,Mean_Gap,Max_Gap,Positive_Gap_Months,RMD_Burden,PT_Readiness,spillover_value_norm,cisn_adjusted_score
22,RMD_Hallucinogen Persisting Perception Disorder,PT_Anticonvulsant Therapy,0.5420440891369029,0.5420440891369029,0.5568904594778031,36,0.6878894775854928,0.1458453884485898,0.0,0.5420440891369029
23,RMD_Childhood Disintegrative Disorder,PT_Cognitive Assistive Technologies,0.5409692699621133,0.5409692699621133,0.5420917813739589,36,0.5684444767393493,0.0274752067772359,0.0,0.5409692699621133
24,RMD_Selective Mutism,PT_Cognitive Behavioral Therapy,0.5398042015107449,0.5398042015107449,0.5584779303726874,36,0.8604658235848102,0.3206616220740652,0.0,0.5398042015107449
25,RMD_Factitious Disorder,PT_Art Therapy,0.539185616456763,0.539185616456763,0.5505538686122621,36,0.6809903165995808,0.1418047001428177,0.0,0.539185616456763
26,RMD_Capgras Syndrome,PT_Reality Testing Techniques,0.5361686587282307,0.5361686587282307,0.5577700333000226,36,0.5429141130217041,0.0067454542934734,0.0,0.5361686587282307
27,RMD_Selective Mutism,PT_Transcranial Magnetic Stimulation,0.5357896341432969,0.5357896341432969,0.5543627781385161,36,0.8604658235848102,0.3246761894415133,0.0,0.5357896341432969
28,RMD_Body Integrity Dysphoria,PT_Neuroplasticity Techniques,0.5349255502466945,0.5349255502466945,0.5489860131753558,36,0.5670019260395676,0.032076375792873,0.0,0.5349255502466945
29,RMD_Schizotypal Personality Disorder,PT_Neurofeedback Systems,0.5342439695539379,0.5342439695539379,0.5419426215579515,36,0.6605032043836859,0.126259234829748,0.0,0.5342439695539379
30,RMD_Landau Kleffner Syndrome,PT_Cognitive Assistive Technologies,0.5315957191999225,0.5315957191999225,0.5548725123714253,36,0.5590709259771585,0.0274752067772359,0.0,0.5315957191999225
31,RMD_Hyperthymesia,PT_Augmentative Communication Devices,0.5277711330116324,0.5277711330116324,0.5339624337563122,36,0.6444958709212335,0.1167247379096011,0.0,0.5277711330116324
32,RMD_Antisocial Personality Disorder,PT_Psychoeducation Programs,0.5152216585285166,0.5152216585285166,0.5325849798385657,36,0.6870196892979348,0.171798030769418,0.0,0.5152216585285166
33,RMD_Dissociative Amnesia,PT_Reality Testing Techniques,0.5142579860014942,0.5142579860014942,0.5159775535121767,36,0.5210034402949676,0.0067454542934734,0.0,0.5142579860014942
34,RMD_Postpartum Psychosis,PT_Psilocybin Assisted Therapy,0.5142072282723525,0.5142072282723525,0.5208876553762893,36,0.7183669958120321,0.2041597675396795,0.0,0.5142072282723525
35,RMD_Anorexia Nervosa,PT_Augmentative Communication Devices,0.5097923033637496,0.5097923033637496,0.5119866801109663,36,0.6265170412733507,0.1167247379096011,0.0,0.5097923033637496
36,RMD_Chronic Traumatic Encephalopathy,PT_Psychoeducation Programs,0.5069209938381285,0.5069209938381285,0.5206728128788053,36,0.6787190246075465,0.171798030769418,0.0,0.5069209938381285
37,RMD_Ekbom Syndrome,PT_Vocal And Speech Biomarkers,0.5043903847813893,0.5043903847813893,0.5251285528678034,36,0.5119498443037827,0.0075594595223932,0.0,0.5043903847813893
38,RMD_Narcissistic Personality Disorder,PT_Stem Cell Therapy For Neurological Disorders,0.501403415789439,0.501403415789439,0.512420368396573,36,0.6620654771117923,0.1606620613223531,0.0,0.501403415789439
39,RMD_Ekbom Syndrome,PT_Memory Retrieval Techniques,0.5011099897818672,0.5011099897818672,0.5124202843671415,36,0.5119498443037827,0.0108398545219154,0.0,0.5011099897818672
40,RMD_Antisocial Personality Disorder,PT_Speech Language Therapy,0.4956134524415643,0.4956134524415643,0.4986922312697711,36,0.6870196892979348,0.1914062368563703,0.0,0.4956134524415643
41,RMD_Ekbom Syndrome,PT_Secure Data Storage For Patient Records,0.4921035016855892,0.4921035016855892,0.5121200597158927,36,0.5119498443037827,0.0198463426181933,0.0,0.4921035016855892
